;business_id;cool;date;funny;review_id;stars;text;useful;user_id
523627;PBZyumZ_0vSijc2zODdqgQ;0;2017-10-08;0;MEk88DqYcUWxyvnr55ybmg;5;"If you have never been here, come now! This place is amazing!! Delicious food, classy atmosphere, big portions, great price, excellent service.
Staff was so nice and very attentive. We ordered the spring salad; the dressing is so delicious. The spicy garlic shrimp bowl (server said it wasn't very spicy and a popular item, he was right, zesty and delicious!) and the combo fried noodle bowl. More than enough food for 2 people, but we were excited to try.";0;fMGXdaaL3jQNhAOeeYkAlA
2155832;B01pO_pI_8AOfEsukGNg-Q;0;2018-05-30;0;DUJm7StgRK0TQZc813VnIA;2;"I honestly don't know how this place gets 4.5 stars!

Staff is rude.  Long wait time.  Food is just average.  For sure won't return.  There are many other better Korean place!";0;8bjGImsaYLMVamAREZYDBQ
842678;MS-hfug4QDXqb_Mws3qlzA;0;2016-05-06;0;jR58wTA3_5hVoZ8j4w80sg;3;"Great Tacos But Poor Service.

Ordered the fish & shrimp tacos. They were absolutely delicious. 
The service however is very poor & unorganized. Had to flag down our server numerous times. Our server was also extremely rude. She never came to the table & when I finally flagged her down to pay for our meal she threw the debit receipt at me and ran away. Not so nice when you leave a large tip. Quite embarrassing as I had a friend visiting Toronto for the first time.";0;vk8t7Jz4Is7TuSezpqVUSw
4835684;cf6rtw3f05DlnJ7muIAEgA;0;2017-07-05;0;6_RkQozLvn_4Kc2qtZ-XEw;3;Be sure to buy your tickets at one of the Tix 4 Tonight booths for $18 each. If you purchase them at the door, it's around $30 which is far too expensive for this museum in my opinion. Some of the wax figures are more impressive than others. If you visit during a busy time, be prepared to wait for tourists to take pictures with their favorite celebrity before moving onto the next section. The museum was also a lot shorter than I thought it would be. If you just walk through to glance, you'll reach the exit in 15 - 20 minutes.;0;0FL7-KzN4LOdrq814cX31A
4942571;stwEHZ4qMuhF8Kml_I4EVw;0;2017-12-23;0;I48Oc3fxT5Ra6HU4tfI5fA;5;"First of all I want to say big Thanks to Summer she fixed my skin. I didn't expect such a great result and I couldn't ask for more, she does her best. She has a great personality and she is really professional. My skin is so sensitive and dehydrated but she knows how to deal with all skin types. I never had such a great experience with facial before even in few countries in Europe, I'm so happy to find Summer. She goes above and beyond to give you best treatment and she not hesitate to go extra mile for you. So book her without any doubts she is the best.
Her location is really convenient and easy to find, easy parking. Her office looks great and welcoming, ambience is great.
I cannot wait to visit Summer again.";2;WP9NaEgjvpsjTtZESisRLA
1160402;Cni2l-VKG_pdospJ6xliXQ;0;2014-08-01;1;JUrvv9ldhMV6Z0CZZ3m2-A;1;I was enjoying my vacation till I stopped by the burger bar Jessica our server was less then pleasant and Scott the manager would not honor the happy hour specials think twice before stopping by for happy hour. Food was great though!!;1;5M6xMZfmQk7y7GvrFvK3Uw
387336;KfaeDC-oPE6GTfBvdF9x7Q;0;2014-08-24;0;ABNCYEsVWjRa1RS7qStNcQ;3;I have been going to Colectivo for a long time now and I love their coffee and food (especially the new brie sandwhich). However, the change to no Wifi on the weekends is a big disappointment. I always enjoyed grabbing a coffee and pastry Sunday mornings and sitting for a bit to check emails and read the news. Colectivo is no longer my coffee shop of choice purely because I can't get any work done. I think putting in a wifi password on weekends and just giving a 2 hour limit would be a much more effective solution if the purpose of removing Wifi was to make sure people didn't hang out all day.;1;zQr55zgsaDFG-ODT8VM-Mw
5228971;9Zhiktm7_LYN_uxaT9XEhg;0;2017-06-28;0;42SfSlNTWsGV6SxC__m8zw;5;"We've had a perfect experience every time we've come. My 5 year old insists on ordering and everyone is always patient with her. We order to go, but usually end up eating a little there since my husband usually takes forever to leave work.

We usually get Sweet & Sour Chicken with fried rice, and Sa Cha Chicken, and lo mein. It's always delicious!

We like that it's pretty personable as well. We come here about twice a month, and we're always greeted with smiles :-)";1;x0kOk7unyMfAVX4gt3KS8A
2563233;myw0csRck6XG4w5Z-EFyqg;0;2017-11-26;0;hm-zTsPTMTVoLR22Rp8c9A;4;This place was pretty amazing! We tried it for the first time and will definatly be back!!! The kung pao chicken was as spicey as I had hoped, but flavor was there! Teriyaki chicken hit the spot for adults and kids!!!! Fried rice was spot on and the crab puffs were huge and delicious! Best part, the home made hot mustard, WOW, seriously best I've ever had!! Staff was friendly and thanked us many times! Can't wait to go back and explore more of the menu!;0;8psdKFIFsbDmRLd5SoAVmg
3762284;8SWZLawwzqwzbXpGQS7gBw;0;2017-01-01;0;Nu710mXmNTe8EdlKrfehmw;3;This restaurant was nicely designed, the steak and eggs was typical, and the salad was very good. The low point of my experience here was the service. We arrived to meet some friends for a late breakfast Christmas day 2016, and though the restaurant was only half capacity, the wait for our food was very long and refills of beverages such as coffee were non existent unless you managed to ask for assistance. I would like to note, being our service experience occurred on the day of Christmas, this may have impacted their staff's capabilities. It was a decent place for breakfast, and I would recommend giving it a try.;0;58w7YA4li04e3cOw3BKbUQ
4400390;OQvChaBImI8X5B3aai8btg;0;2016-05-16;0;lsYF7tSi4cQlBOAwuiJTtA;2;I was not impressed. Staff was rude and making fun of customers while standing in front of the host table. Classy. Our server Mike was a gem though. The chairs they have out by the host booth were absolutely filthy and stained. Disgusting. Long wait and subpar food. I did like that the home fries had a variety of potato types, but that's about it. I wanted to love this place but left extremely disappointed.;2;83cecJaBXy679ONpG7qFhg
3367274;XgsIf7s2zM-cC29WUD-NZQ;0;2014-06-25;0;oQLAXI-inSXbebzwNsM9_g;4;Recommend to go before 630 pm to void the long wait, this location is better than irvine branch. More sushi selection and I love their clam soup. Oyster is a little bit under quantity control so I wasn't able to eat as much like hikari :( but quality is not bad.;0;4qrjfZEXYGKUAnBFhCBhuQ
1731182;s_VpeEfBsG-sGg6Vyq8afQ;2;2013-12-08;0;YyTZWbGa0FybDDBZ1UopQw;4;"Food is great but I deduct one stars for not having any other form of payment, especially when the restaurant is quite successful. Instead, they conveniently put an ATM and let us pay a few dollars for the cash withdrawal. 

Just raise the prices and add all payment forms. I find this a lame business tactic on their part.";2;lvrmbSbO70Fi_cLouHG5Pg
1005293;6PQve0oFCLPSh4wnIzvJtg;0;2018-04-11;0;2yQUKPExnnwATal8OLVwjQ;3;Their pizzas looked good in pictures Chicago like so I went for the gusto and ordered many toppings. I like that flavor burst. I figure they must charge 4.00 per topping. Well I was up to 28.00 with my big mouth. What I really want is a pizza with no rules. Endless toppings and a price that won't break me. Now for the taste. I was expecting some spices on there such as oregano basil salt pepper so there went half the flavor. I didn't feel the love with the cheese. I only like regular mozzerella, not low-fat. In fairness, the pizza with all those toppings I picked, did make the pizza flavorful. The price might scare me away for next time however. Thank you for the experience though. I did enjoy!;0;pjfJTBvUHAqf9Bu9ztDnuA
2116022;w2b0ve7xpuCQkwYICFIUOg;0;2017-07-09;0;lhKWs4-t2fiLPF5xs8JHOw;5;Growing up Italian, in New York, authentic Italian is easy to come by. Since living in Las Vegas, and meeting David personally, I was so in love with his concept, I came to try it myself. It's been four years of eating here, and I have yet to be even slightly unimpresssed with anything I have eaten here. Tonight I had their special. Chicken sausage with Porta Bella mushrooms, asparagus, tiger shrimp and butternut squash ravioli tossed in EVOO. This entree floored me. I would definitely make it one of my top three choices when I come here. So impressed as usual.;0;C6JsAkr_VEwFH3zZxBwf6Q
2649613;g8OnV26ywJlZpezdBnOWUQ;0;2018-03-24;0;nenlQGCE_0hXmxIzEzgSYQ;5;This is our second time eating here. The staff works like a well oiled machine. The food is fabulous.  Large portions, sooo good!;0;ZU_wGB-a10n2tO7-zpvOUQ
4328611;o47aY911-1rK9tHeXOWxFg;0;2015-02-23;0;dfKUo53gWK7QGFoTGRClDA;4;I started out trying this pizza at a friend's house when she had it delivered. I loved the pizza both times and wanted to know where it was from. Finally, I went over and had it on my own. So good! I get extra cheese, which is heavenly. I find this pizza to be less greasy than others I have tried around town and it's satisfying. I love the sauce and the crust. It's not too much or too little. Just the right amount. The interior is fairly small and best for take-out. They have a display fridge with a few desserts. I've tried their cannoli and it's my favorite. There's also bottled drinks available for purchase.;1;km7qrqi424cIp3dqkPdDvQ
2434230;_3olhuCXhoqjy4M2rBp1YA;0;2017-10-11;0;6sDByaXtgiE2eqhao1RLEg;4;I dig this bar.  I have been here a couple of times with Friends and family.  This place has a great vibe and the decor is outstanding.  Great Drinks and even better live bands.  Nothing beats Frankie's but this place is easily a cool joint to hang in.;0;okxJAHCrSCZrt6ok3sqgtw
2401377;RESDUcs7fIiihp38-d6_6g;0;2018-06-10;0;qU1Dcs_OZVQJUqolLTnXAA;5;Go, seriously.  And go hungry! So many options and everything I tried was amazing.  Look for the bacon, it's life changing.  Pricey, yes but as something that is once in a while, superb. $152 for 2 on a Saturday night.;0;6pcKgLkiSx7zS3Iavmdipw
34493;meFzyhtajIRm4pDVR9uJnQ;4;2011-09-03;0;gw6R3j4-Cd1aW-Tl8uBIaQ;5;An Arizona Humane Society satellite location located in a dog friendly out door mall, and a beautiful one at that.  This is a wonderful addition to the Biltmore.  The staff is knowledgeable and friendly, they have all types of pet goodies and feature local businesses and artist of pet products which is just another plus about this store!  The best thing is they have kitties, pups, bunnies up for adoption so it's great way to raise awareness, funds and forever homes for these furry friends.  One more quick thought - prices are less expensive on some products I've seen at big box pet stores which is pretty amazing since it's not usually that way with smaller independent stores.  Plus, they have a members system that allows you to get a small discount on items so save money and help a great cause.;3;6eStwrCvyzcCDWVrzSwUzQ
2050612;BxNhwgVNi2qsAco8388h5A;0;2018-04-21;0;5AnzZ3j7qqPetbT3o_ofjg;2;The chicken , bacon , ranch on anything is Great! The subs are baked crisp and melted and are the BOMB literally.;0;FEGJHAjnhSDBcGCdv_ydKw
4069561;iBZcbvdM1vp_xiuxJVqkNw;0;2013-02-11;0;4eg5IQnb8T97nmgWp_XAtA;3;"I ordered a large gourmet veggie pizza  and a side of 12 suicide wings last week. The pizza was really good. I liked the thin crust and the vegetables. It was a big size, and everyone filled up on it. The wings were very greasy and not very good. They were like chicken ball shaped, and not like wing. The suicide was also not that hot. 

The service was ok. The girl who took my order wasn't as friendly as she could have been. It was ready when they said though, and everything was there.

What I dont like is that I went to pick it up and it was a 33 dollar tab. That is very expensive I feel. Too much for what we got. I will just order from another place next time that is cheaper. I am glad that I got to try it though.";1;cCtB72I6FfLDcU7Zk67N9g
5812532;LZSyWy4IHgXg6QhW2jrBlw;1;2015-10-31;1;LLT9KiPDY-9GosjhDTYV1Q;3;"What happened to Macaroni Grill? It seems like by adding these Express Lunch and Dinner deals that they are devaluing their food. I came here for lunch, but was immediately enticed by the specials. However, my waiter pre-warned me that since I was sitting at the table, the time guarantee of 7 minutes would not apply to my meal. I completely understood. I suppose that many people complain that they don't get their food on time. The guarantee is only applicable if you ordered it at the counter.

I actually opted for the $10 three course lunch special. I would not call it three traditional courses though. The Mozzarella Frita was a bite sized portion of parmesan breaded with mozzarella and arrabbiata sauce. Instead of the caesar salad, I opted for their green salad. It wasn't really that great. You don't get a choice of salad dressing as it is dressed with undesirable vinaigrette sauce. Finally, the Penne Arrabbiata was plain in that all you could taste was the sauce and the pasta. It was doused with fresh mozzarella, imported romano, basil, and lots of arrabbiata sauce. The dish could have been better with some additional toppings. 

I used to love coming to this chain, but it seems like the sophistication of this place is gone.";3;XiFzYeOUdkL1HxVFlPsHSA
5277116;OKZkEXzJt0XIamHRRTX-8g;0;2016-08-11;0;_upE2OQ8oLWZGOuN1xm-9w;4;I have been wanting to try Carlos bakery after watching Cake Boss and it lived up to my expectations. My boyfriend and I arrived at the bakery 15 minutes before they closed and we had to wait about twenty minutes to order which wasn't too bad. I got 3 cannolis, 2 regular and 1 chocolate as well as a mini white chocolate tart. The cannolis were the best I have ever eaten, especially the chocolate. I suggest going earlier in the day because they will have more pastries to choose from. The price isn't something to rave about but you're getting quality pastries, not something store bought which I don't mind to pay.;0;4H8wzuI_bvLtzAbpMRD3VQ
1888677;GR3e3u1mr_W3HVa-CukrcA;0;2017-03-18;0;D148u_tMEFaQ0TrHaBPy-A;5;"Very knowledgeable and professional!
I highly recommend Tech Services for any pool issues you may have, no matter what the problem may be!";0;M8X3TSlvJkbUVlLjiZZkPQ
878964;lwxYmWqjmEZ0ukCsXC9Pfg;0;2017-06-01;0;SCYH_9c28B9or9Hi6ii4sg;5;"This is probably the best place om the strip to get delicious food and an electric ambience. The restaurant has an outside patio seating which is a delight in favorable weather conditions.

The server was friendly and accommodating. The serving time was not too long and optimal. The cheese garlic bread had thin crust, freshly baked, had the flavor profile of garlic and cheesy. The Fettuchine Alfredo was well made. The sauce was creamy, appropriately seasoned, the portion size was enormous. 

All in all I was a happy camper having found this place was a quick dinner.";0;V0dJCcjT5upI7s5OFqWSaQ
3797518;OgANEur7Bt8YJSd2uSm6yA;0;2015-12-20;0;PXZXPTzNkxQGb7vxBQAw9g;1;It seriously takes you a damn hour after my pizza is supposed to be delivered for you to call me and say you haven't had a delivery driver since 10pm? This entire store needs to be restaffed, remanaged because THEY SUCK AND MAKING PIZZA,CANT KEEP THEIR CUSTOMERS UP TO DATE OR HAPPY!!!!!! CLOSE THIS LOCATION AND START OVER.;2;CmjKhvajIs4RDlcE_iMH8Q
370755;gTlDDzDEHyDQ6iwjNhpI6A;0;2013-11-04;0;EIZmhqx2MkmmIgM-N1pB_g;4;This is the place for a great Indian lunch buffet!  There were a lot of excellent vegetarian options, chicken and really good fresh garlic nan.  Also a very friendly host who took good care of us. I'll look forward to lunch here again.;0;wfDQ_c-o1RxDEUSJQ-jq0w
4006692;eR7Iw_X54m3YLWkXp9y35Q;5;2015-08-25;2;UuGgo4vM5HK3vWnFYPnC5g;4;"Tonkatsu Kiyoshi is one of the very few, if not the only place in Vegas that specialize in Katsu. My coworker claims this place makes the best katsu in town so I was convinced to try this place at least once. Nothing blew me away but I wouldn't mind coming back here. 

SERVICE
Casual, fast and friendly service. Constantly checked for water and wait time for food wasn't bad at all.

FOOD
I orderd their chicken katsu plate which came with rice, miso soup and shredded cabbage salad. It is little bit over $10 and is a good portion. While you wait for your order, you can grind up the sesame seeds that you can mix in with katsu sauce for that extra touch of flavor. 

Juicy and crunchy katsu. Add that sesame seeds you ground up with your heart and soul into their katsu sauce. Dip your katsu in that sauce. Bazinga. Goes amazingly well with their fluffy bowl of white rice. Mmh.

Unlike other places, miso soup here had a lot of flavor. To my surprise, they have one of the best miso soup in town. 

CONCLUSION 
Reasonable price, good food and friendly service.";4;mEzc6LeTNiQgIVsq3poMbg
4856133;9-cVW8wSRoE6Nmnc7v0uUA;0;2015-08-10;0;g5uVAzhXvFuXrFfnGoSJ5A;4;Service was good despite being very busy. Coffee was decent for America. Price was reasonable. Only complaint is the chicken for the chicken waffels was dry like a bucket of sand.;0;fJmHpcT-nQdG5LGhMqQzcQ
951091;SGCJMi4y_uxbRnBODzDbPg;0;2017-01-02;0;kmKc5sN_IW8AqCYXPM_U6w;4;My haircut is a simple haircut, like for a senior asian male.  Much better than the first barber I went to, though the price was inexpensive. The technique used was precise and efficient. Experienced barber that I highly recommend.;0;oddeaYWyObVMXcNAS-DfsA
3870343;41TPQc9XAgkmnZttbdg9RQ;0;2016-04-02;0;PzQ0QV15XOgYh9tQgzk_9g;5;Very friendly people and a very clean gym and locker room. First time using this one and I will use it again when I'm in the area. The staff was great and the customers were nice. First class organization;1;_RqR0dk2l27hvqWWghddZw
3935475;VxrvGKfba7rBDNLjc-Wy3A;0;2015-11-12;0;pAP3STNgsH7sUXVYRrfrqA;5;Charming little authentic Ethiopian restaurant. The service is super friendly and the food is delicious. We ordered the veggie platter to share along with some beef accompaniments. The food was delicious and promptly served. It was quite busy but were seated fast and no lag in service. If you like eating with your hands and trying new things, this is the place for you.;0;LB5ViGU59ww2XRCx803t0w
2815935;XZV6pSuJkfsyoT9eJc3dWw;37;2017-07-06;24;JvH4U7GXvukdByZc7bVg9Q;3;"Sometimes hubby gets a hankering for some ghetto, greasy fried chicken; in the States, Church's was our go to. We were excited to see Church's open up by the Cedarbrae mall. Everything is still brand spanking new. Very helpful and friendly staff. 

Hubby and I split a four piece combo spicy with white meat (upcharged) which comes with a drink and a side, chose the coleslaw. The chicken was hot and juicy, the exterior crunchy but it was more like a slightly greasier version of Louisiana Fried chicken: definitely a different batter used than Stateside. Tried all their dipping sauces and felt that the honey mustard went best. The coleslaw had a nice crunch but was bland. Ordered the mashed potatoes with gravy since the coleslaw disappointed; it was decent and had little pieces of chicken in the gravy. The biscuit with honey butter brushed on top was nice and fluffy with crunchy ridges on top from the caramelized honey butter YUM!

Would come back if we were in the area.";42;pn_flI3EBNugBEYFp9okxQ
5904333;PAJlmByrU8zAB3WsXxA30Q;0;2018-03-04;0;mZYRIWJNK960mBwMsfnjcg;4;"Fast seating Sunday at 1.30pm.  
Had our usual favorites 
of har gao, Siu MEI, steamed sticky rice n chicken in leaf, chicken feet, deep fried taro ball, rice rolls with shrimp and bbq pork and yee-fu noodles.  
Great taste, portioning and speed of service.  Tea refills were fast.";0;CY5yCvzJpkgsQUnO-S1Mtw
5849980;K141mTgWaKx8qlQkBG1huQ;2;2013-09-08;1;vbSkGS81VEXqHv3lbvdCkQ;3;Cute, little shop with lots of interesting and unique jewelry, clothing, gift items, etc. It's fun to walk around and look at the different stuff. I think the prices are too high for what you get, but it's fun to window shop.;1;CEoMgtYwcskmU6VOeDAwVw
5336751;v8hyQH6OwxCLuHrOBBt9pQ;0;2017-05-31;0;S8w7WmCVV44oMpcOIpzwLg;2;Just left appmnt at main office on 7th Street. Front desk was fast/professional, Doctor was great very thorough, but the check-out was horrible! Very rude, made faces as soon as I walked up, as I was walking out she started talking about me to another patient!!!;0;H_RSM53Z53HiBxSDhlmTzA
957829;MzaQOCli9rbjU_OfqjprBA;0;2015-03-23;0;XpclEYNATJ30spa-r3TyUg;5;"This little gem on hwy7 is tucked away upstairs in time square, but people should really know about this place! The food is soooooo good, and the prices are reasonable. Vietnamese,  Chinese and Thai food all in one place. The beef broth for Pho is probably one of the best in town! We also ordered their Cantonese chow mien and wow, it was so pretty & full of flavour.  

I think Vietnamese restaurants are usually pretty dirty but this place was not like that at all. The place is bright and very clean!

I recommend people try this hidden gem out!";4;wrjAwxp_NiTaxaasF-FV6g
5922801;Twcjx4ofM9GWwXN6LVGSzw;0;2013-04-23;0;0QbdQo5OQ9Md_Cnh2bDqcQ;4;"I am such fan of this place! 

I've only been there two times so far but both times the food have been excellent!

I ordered the steak and the mussels, the mussels are to die for! (personally think its better then sardines and eno vino!) the sauce is literally to die for~!

The second time I went, we had the garlic bread app (amazing!) and the sausage pasta there is really good :)

The ambience there is great for a date and there cocktails are made with brandy!!

Note: i went during dinnertimes and at winter so it might be different since they change their menus frequently!";1;SG0zZqNEDZPZo0dAtBX7fQ
396592;IiTLzksQAv9U8CW3s0bmlg;0;2015-11-13;0;n8_nO32AOSDamSaP1LjAcA;5;Absolutely love this spot. The food is authentic & tasty. The family atmosphere makes ya feel so welcomed & part of the family. Can't go wrong with eating here.;0;tH6mHrQHDQMrpo0B-dAtAg
1601765;faPVqws-x-5k2CQKDNtHxw;0;2018-03-01;0;RUQ2ly8NvYGY_MpqiJuvHw;2;"Food was excellent but service fell short at the very end. 

My gf and I went here on the raving reviews on Yelp. While food did not disappoint. We had the deviled eggs, grilled cheese and swine burger( best burger I ever had) with 2 cocktails( peach and the blackberry bourbon). All excellent...except we waited so long for our waiter that didn't show up at the end. I even told one of the runners if I could have the bill. We weren't even asked if we wanted desserts! After about 15 minutes of waiting, I just walked up to the hostess and asked if I could just pay the bill there. I could have just walked out but I felt I need to pay for the service. She was a sweetheart. I absolutely understand why she wouldn't have the ability to ring us up but who else could I asked? I really wanted to love this place but the last impression just left me a bad taste. 

Just a little info about me is that I have never ever leave without tipping but this is a very first for me.";0;5QiqSv4DG5FIob-2SV-Ptw
3772073;KBGoTNvOoV3ixc8zaaMHnw;7;2016-07-19;5;eqWQ7VfM0rlBSJpPNmbOrw;3;"I drove here with high expectations of hopefully receiving authentic British Isles fish and chips. 

Fish? 
Basically three fancy fish sticks and not the long solid piece of beer battered cod or haddock that I was expecting or what one would receive in the UK.

Chips? (Fries to us Americans)
Slim cut French fries and nothing more. These were not the proper steak type chips found in the UK. They also weren't cooked properly, meaning they weren't golden brown and crispy. They also were not cooked in beef fat like they would do in the UK. Beef fat = lard or Crisco. This is what McDonald's does and we all know that Mickey D's has the most highly regarded FF in the fast food industry. This is the reason why. 

In the UK it is generally accepted that malt vinegar and then salt is added to ones chips. I did the same with the chips that I received, but they were so limp that they didn't absorb the malt vinegar. FAIL!

Coleslaw?
My side was automatically coleslaw. The traditional side in the UK is mushy peas, which is on their menu. I'm sorry that I didn't get to try this, because I've never had them before. Sadly, I wasn't given the option. 

Tartar sauce? Very good. 

Beer? Harp. Ice cold and very good. THE best thing on the table. 

Service? Cheerful and friendly. Very good.

Price? Entree and beer + tip = $20. The entree itself was a little more expensive than Long John Silvers and half as good. I was expecting better. 

I'm sure that there are some excellent items on the menu that I need to try, but my ""toe in the water"" test of the food was pretty much underwhelming. I may go back to try some of the other traditional items, but it won't be anytime soon. There are plenty of other British Isles restaurants to sample first.";8;4FE8md9fMr_jZFNbcOmHsQ
